Barangay,Year,Population,Waste per Capita,Target Diversion (%),Target for Disposal (%),Target Weight to Disposal,Biodegradable,Special,Recyclable,Residual,Others,Total Waste
Bagbaguin,2020,2445.00,0.53,0.55,0.45,213646.55,79001.74,4605.27,197361.93,67274.92,126526.23,474770.09
Bagbaguin,2021,2531.55,0.51,0.55,0.45,221373.88,81859.14,4771.84,204500.27,69708.18,131102.53,491941.96
Bagbaguin,2022,2621.17,0.51,0.60,0.40,203509.87,84660.10,4935.11,211497.63,72093.37,135588.45,508774.66
Bagbaguin,2023,2713.96,0.51,0.65,0.35,184374.85,87657.07,5109.82,218984.64,74645.48,140388.28,526785.29
Bagbaguin,2024,2810.03,0.51,0.70,0.30,163630.05,90760.13,5290.70,226736.70,77287.93,145358.02,545433.48
Bagbaguin,2025,2909.51,0.51,0.75,0.25,141185.46,93973.04,5478.00,234763.18,80023.92,150503.70,564741.84
Bagbaguin,2026,3012.51,0.51,0.80,0.20,116946.74,97299.69,5671.92,243073.80,82856.76,155831.53,584733.70
Bagbaguin,2027,3119.15,0.51,0.85,0.15,90814.99,100744.10,5872.70,251678.61,85789.89,161347.97,605433.27
Bagbaguin,2028,3229.57,0.51,0.90,0.10,62686.56,104310.44,6080.60,260588.03,88826.86,167059.68,626865.61
Bagbaguin,2029,3343.89,0.51,0.95,0.05,32452.83,108003.03,6295.85,269812.85,91971.33,172973.60,649056.66
Bagbaguin,2030,3462.27,0.51,1.00,0.00,0.00,111826.33,6518.72,279364.22,95227.11,179096.86,672033.24
Bagong Barrio,2020,15340.00,0.44,0.55,0.45,1099047.34,406403.28,23690.58,1015275.51,346077.80,650880.26,2442327.43
Bagong Barrio,2021,16068.65,0.42,0.55,0.45,1151416.34,425768.17,24819.42,1063652.83,362568.21,681894.34,2558702.97
Bagong Barrio,2022,16831.91,0.42,0.60,0.40,1069899.28,445078.10,25945.06,1111892.83,379011.82,712820.40,2674748.21
Bagong Barrio,2023,17631.43,0.42,0.65,0.35,980629.56,466219.31,27177.45,1164707.74,397014.88,746679.36,2801798.74
Bagong Barrio,2024,18468.92,0.42,0.70,0.30,880465.25,488364.73,28468.38,1220031.35,415873.09,782146.63,2934884.18
Bagong Barrio,2025,19346.19,0.42,0.75,0.25,768572.79,511562.05,29820.62,1277982.84,435627.06,819298.60,3074291.17
Bagong Barrio,2026,20265.14,0.42,0.80,0.20,644064.00,535861.25,31237.10,1338687.03,456319.35,858215.28,3220320.01
Bagong Barrio,2027,21227.73,0.42,0.85,0.15,505992.78,561314.66,32720.87,1402274.66,477994.51,898980.51,3373285.21
Bagong Barrio,2028,22236.05,0.42,0.90,0.10,353351.63,587977.11,34275.11,1468882.71,500699.25,941682.08,3533516.26
Bagong Barrio,2029,23292.26,0.42,0.95,0.05,185067.91,615906.02,35903.18,1538654.64,524482.47,986411.98,3701358.29
Bagong Barrio,2030,24398.64,0.42,1.00,0.00,0.00,645161.55,37608.58,1611740.73,549395.39,1033266.55,3877172.80
Baka-Bakahan,2020,759.00,0.61,0.55,0.45,75918.16,28072.85,1636.46,70131.51,23905.78,44960.42,168707.02
Baka-Bakahan,2021,783.29,0.59,0.55,0.45,78511.79,29031.91,1692.37,72527.44,24722.49,46496.43,174470.64
Baka-Bakahan,2022,808.35,0.59,0.60,0.40,71957.05,29934.13,1744.96,74781.36,25490.78,47941.38,179892.61
Baka-Bakahan,2023,834.22,0.59,0.65,0.35,64977.22,30892.02,1800.80,77174.37,26306.49,49475.51,185649.19
Baka-Bakahan,2024,860.92,0.59,0.70,0.30,57476.99,31880.57,1858.42,79643.95,27148.30,51058.72,191589.96
Baka-Bakahan,2025,888.46,0.59,0.75,0.25,49430.21,32900.75,1917.89,82192.55,28017.04,52692.60,197720.83
Baka-Bakahan,2026,916.90,0.59,0.80,0.20,40809.58,33953.57,1979.26,84822.72,28913.59,54378.77,204047.91
Baka-Bakahan,2027,946.24,0.59,0.85,0.15,31586.62,35040.09,2042.60,87537.04,29838.82,56118.89,210577.44
Baka-Bakahan,2028,976.52,0.59,0.90,0.10,21731.59,36161.37,2107.96,90338.23,30793.67,57914.69,217315.92
Baka-Bakahan,2029,1007.76,0.59,0.95,0.05,11213.50,37318.53,2175.42,93229.05,31779.06,59767.96,224270.02
Baka-Bakahan,2030,1040.01,0.59,1.00,0.00,0.00,38512.73,2245.03,96212.38,32795.99,61680.54,231446.67
Bunsuran I,2020,5326.00,0.66,0.55,0.45,574495.70,212435.74,12383.57,530706.36,180902.31,340229.12,1276657.10
Bunsuran I,2021,5437.85,0.64,0.55,0.45,586724.36,216957.63,12647.17,542002.93,184752.98,347471.20,1303831.91
Bunsuran I,2022,5552.04,0.64,0.60,0.40,532262.82,221421.33,12907.37,553154.13,188554.10,354620.10,1330657.03
Bunsuran I,2023,5668.63,0.64,0.65,0.35,475510.29,226071.18,13178.43,564770.37,192513.74,362067.12,1358600.84
Bunsuran I,2024,5787.67,0.64,0.70,0.30,416139.44,230818.67,13455.18,576630.55,196556.53,369670.53,1387131.46
Bunsuran I,2025,5909.22,0.64,0.75,0.25,354065.30,235665.87,13737.73,588739.79,200684.21,377433.61,1416261.21
Bunsuran I,2026,6033.31,0.64,0.80,0.20,289200.54,240614.85,14026.23,601103.32,204898.58,385359.72,1446002.70
Bunsuran I,2027,6160.01,0.64,0.85,0.15,221455.31,245667.76,14320.78,613726.49,209201.45,393452.27,1476368.75
Bunsuran I,2028,6289.37,0.64,0.90,0.10,150737.25,250826.78,14621.51,626614.75,213594.68,401714.77,1507372.49
Bunsuran I,2029,6421.45,0.64,0.95,0.05,76951.37,256094.15,14928.57,639773.66,218080.17,410150.78,1539027.33
Bunsuran I,2030,6556.30,0.64,1.00,0.00,0.00,261472.12,15242.06,653208.91,222659.86,418763.95,1571346.90
Bunsuran II,2020,3651.00,0.51,0.55,0.45,305031.96,112794.04,6575.13,281781.75,96051.17,180646.71,677848.80
Bunsuran II,2021,3775.13,0.49,0.55,0.45,315567.30,116689.77,6802.23,291514.06,99368.64,186885.97,701260.67
Bunsuran II,2022,3903.49,0.49,0.60,0.40,289407.39,120393.48,7018.13,300766.63,102522.57,192817.68,723518.49
Bunsuran II,2023,4036.21,0.49,0.65,0.35,261689.40,124414.62,7252.53,310812.24,105946.82,199257.79,747684.00
Bunsuran II,2024,4173.44,0.49,0.70,0.30,231796.99,128570.07,7494.77,321193.37,109485.45,205913.00,772656.66
Bunsuran II,2025,4315.34,0.49,0.75,0.25,199615.84,132864.31,7745.09,331921.23,113142.26,212790.49,798463.38
Bunsuran II,2026,4462.06,0.49,0.80,0.20,165026.41,137301.97,8003.78,343007.39,116921.21,219897.69,825132.04
Bunsuran II,2027,4613.77,0.49,0.85,0.15,127903.72,141887.86,8271.11,354463.84,120826.38,227242.28,852691.47
Bunsuran II,2028,4770.63,0.49,0.90,0.10,88117.14,146626.91,8547.36,366302.93,124861.98,234832.17,881171.35
Bunsuran II,2029,4932.84,0.49,0.95,0.05,45530.12,151524.25,8832.84,378537.45,129032.37,242675.56,910602.47
Bunsuran II,2030,5100.55,0.49,1.00,0.00,0.00,156585.16,9127.86,391180.60,133342.05,250780.93,941016.60
Bunsuran III,2020,2451.00,0.45,0.55,0.45,182003.13,67300.71,3923.18,168130.44,57310.76,107786.30,404451.39
Bunsuran III,2021,2488.50,0.45,0.55,0.45,184952.02,68391.15,3986.74,170854.57,58239.34,109532.70,411004.50
Bunsuran III,2022,2526.57,0.45,0.60,0.40,166881.51,69422.71,4046.88,173431.61,59117.77,111184.81,417203.78
Bunsuran III,2023,2565.23,0.45,0.65,0.35,148255.45,70484.88,4108.79,176085.11,60022.28,112885.93,423586.99
Bunsuran III,2024,2604.48,0.45,0.70,0.30,129020.36,71563.29,4171.66,178779.21,60940.62,114613.09,430067.87
Bunsuran III,2025,2644.33,0.45,0.75,0.25,109161.98,72658.21,4235.48,181514.54,61873.01,116366.67,436647.91
Bunsuran III,2026,2684.79,0.45,0.80,0.20,88665.72,73769.88,4300.29,184291.71,62819.67,118147.08,443328.63
Bunsuran III,2027,2725.86,0.45,0.85,0.15,67516.73,74898.56,4366.08,187111.37,63780.81,119954.73,450111.55
Bunsuran III,2028,2767.57,0.45,0.90,0.10,45699.83,76044.51,4432.88,189974.18,64756.65,121790.04,456998.26
Bunsuran III,2029,2809.91,0.45,0.95,0.05,23199.52,77207.99,4500.71,192880.78,65747.43,123653.42,463990.33
Bunsuran III,2030,2852.90,0.45,1.00,0.00,0.00,78389.27,4569.57,195831.86,66753.37,125545.32,471089.39
Cacarong Bata,2020,14638.00,0.50,0.55,0.45,1209118.20,447105.04,26063.21,1116956.52,380737.89,716066.66,2686929.32
Cacarong Bata,2021,15036.15,0.49,0.55,0.45,1242170.46,459327.03,26775.67,1147489.47,391145.68,735640.95,2760378.80
Cacarong Bata,2022,15445.14,0.49,0.60,0.40,1133393.25,471491.59,27484.79,1177878.94,401504.56,755123.26,2833483.14
Cacarong Bata,2023,15865.24,0.49,0.65,0.35,1018693.86,484316.16,28232.37,1209917.25,412425.48,775662.61,2910553.87
Cacarong Bata,2024,16296.78,0.49,0.70,0.30,896916.28,497489.56,29000.29,1242827.00,423643.46,796760.63,2989720.94
Cacarong Bata,2025,16740.05,0.49,0.75,0.25,767760.34,511021.28,29789.10,1276631.89,435166.56,818432.52,3071041.35
Cacarong Bata,2026,17195.38,0.49,0.80,0.20,630914.74,524921.06,30599.36,1311356.28,447003.09,840693.88,3154573.67
Cacarong Bata,2027,17663.10,0.49,0.85,0.15,486056.71,539198.91,31431.67,1347025.17,459161.57,863560.76,3240378.08
Cacarong Bata,2028,18143.53,0.49,0.90,0.10,332851.64,553865.12,32286.61,1383664.25,471650.77,887049.61,3328516.36
Cacarong Bata,2029,18637.04,0.49,0.95,0.05,170952.60,568930.25,33164.80,1421299.92,484479.67,911177.36,3419052.00
Cacarong Bata,2030,19143.96,0.49,1.00,0.00,0.00,584405.16,34066.89,1459959.28,497657.52,935961.38,3512050.23
Cacarong Matanda,2020,12494.00,0.32,0.55,0.45,666637.52,246507.74,14369.74,615824.92,209916.75,394797.55,1481416.70
Cacarong Matanda,2021,12833.84,0.32,0.55,0.45,684934.31,253273.49,14764.14,632727.09,215678.20,405633.32,1522076.24
Cacarong Matanda,2022,13182.92,0.32,0.60,0.40,624956.25,259981.80,15155.19,649485.78,221390.75,416377.10,1562390.62
Cacarong Matanda,2023,13541.49,0.32,0.65,0.35,561710.68,267053.31,15567.41,667151.80,227412.58,427702.56,1604887.66
Cacarong Matanda,2024,13909.82,0.32,0.70,0.30,494562.18,274317.16,15990.84,685298.33,233598.20,439336.07,1648540.60
Cacarong Matanda,2025,14288.17,0.32,0.75,0.25,423345.23,281778.58,16425.79,703938.44,239952.07,451286.01,1693380.89
Cacarong Matanda,2026,14676.81,0.32,0.80,0.20,347888.17,289442.96,16872.58,723085.57,246478.77,463560.99,1739440.87
Cacarong Matanda,2027,15076.02,0.32,0.85,0.15,268013.05,297315.81,17331.51,742753.49,253182.99,476169.85,1786753.65
Cacarong Matanda,2028,15486.08,0.32,0.90,0.10,183535.34,305402.80,17802.93,762956.39,260069.57,489121.67,1835353.36
Cacarong Matanda,2029,15907.30,0.32,0.95,0.05,94263.75,313709.75,18287.17,783708.80,267143.46,502425.78,1885274.96
Cacarong Matanda,2030,16339.98,0.32,1.00,0.00,0.00,322242.66,18784.58,805025.68,274409.76,516091.76,1936554.44
Cupang,2020,2965.00,0.76,0.55,0.45,369926.15,136790.47,7973.96,341729.56,116485.63,219078.49,822058.11
Cupang,2021,3011.25,0.75,0.55,0.45,375861.25,138985.14,8101.90,347212.27,118354.53,222593.38,835247.22
Cupang,2022,3058.23,0.75,0.60,0.40,339233.08,141120.96,8226.40,352547.98,120173.32,226014.04,848082.70
Cupang,2023,3105.94,0.75,0.65,0.35,301459.48,143322.45,8354.73,358047.73,122048.02,229539.86,861312.79
Cupang,2024,3154.39,0.75,0.70,0.30,262424.78,145558.28,8485.07,363633.28,123951.97,233120.68,874749.28
Cupang,2025,3203.60,0.75,0.75,0.25,222098.84,147828.99,8617.44,369305.96,125885.62,236757.37,888395.38
Cupang,2026,3253.58,0.75,0.80,0.20,180450.87,150135.12,8751.87,375067.13,127849.44,240450.78,902254.34
Cupang,2027,3304.33,0.75,0.85,0.15,137449.43,152477.23,8888.40,380918.18,129843.89,244201.81,916329.51
Cupang,2028,3355.88,0.75,0.90,0.10,93062.42,154855.87,9027.06,386860.50,131869.46,248011.36,930624.25
Cupang,2029,3408.23,0.75,0.95,0.05,47257.10,157271.63,9167.88,392895.52,133926.62,251880.34,945141.99
Cupang,2030,3461.40,0.75,1.00,0.00,0.00,159725.06,9310.90,399024.69,136015.87,255809.67,959886.19
Malibong Bata,2020,2578.00,0.43,0.55,0.45,180045.20,66576.71,3880.97,166321.75,56694.23,106626.77,400100.43
Malibong Bata,2021,2633.17,0.42,0.55,0.45,184062.42,68062.19,3967.57,170032.77,57959.21,109005.85,409027.59
Malibong Bata,2022,2689.52,0.42,0.60,0.40,167042.15,69489.53,4050.77,173598.55,59174.68,111291.83,417605.36
Malibong Bata,2023,2747.07,0.42,0.65,0.35,149289.74,70976.61,4137.46,177313.56,60441.02,113673.47,426542.12
Malibong Bata,2024,2805.86,0.42,0.70,0.30,130701.04,72495.51,4226.00,181108.07,61734.46,116106.09,435670.13
Malibong Bata,2025,2865.91,0.42,0.75,0.25,111248.37,74046.91,4316.44,184983.78,63055.57,118590.76,444993.46
Malibong Bata,2026,2927.24,0.42,0.80,0.20,90903.26,75631.52,4408.81,188942.43,64404.96,121128.60,454516.32
Malibong Bata,2027,2989.88,0.42,0.85,0.15,69636.45,77250.03,4503.16,192985.80,65783.23,123720.75,464242.97
Malibong Bata,2028,3053.86,0.42,0.90,0.10,47417.78,78903.18,4599.52,197115.70,67190.99,126368.38,474177.77
Malibong Bata,2029,3119.22,0.42,0.95,0.05,24216.26,80591.71,4697.95,201333.98,68628.88,129072.66,484325.18
Malibong Bata,2030,3185.97,0.42,1.00,0.00,0.00,82316.37,4798.49,205642.52,70097.54,131834.81,494689.73
Malibong Matanda,2020,6813.00,0.51,0.55,0.45,573141.18,211934.87,12354.38,529455.08,180475.79,339426.94,1273647.06
Malibong Matanda,2021,7111.41,0.49,0.55,0.45,573305.43,211995.61,12357.92,529606.81,180527.51,339524.21,1274012.06
Malibong Matanda,2022,7422.89,0.49,0.60,0.40,531925.52,221281.01,12899.19,552803.59,188434.61,354395.37,1329813.77
Malibong Matanda,2023,7748.01,0.49,0.65,0.35,485820.87,230973.12,13464.18,577016.39,196688.05,369917.89,1388059.63
Malibong Matanda,2024,8087.37,0.49,0.70,0.30,434656.99,241089.75,14053.91,602289.71,205302.99,386120.30,1448856.66
Malibong Matanda,2025,8441.60,0.49,0.75,0.25,378079.14,251649.48,14669.47,628670.00,214295.26,403032.36,1512316.57
Malibong Matanda,2026,8811.34,0.49,0.80,0.20,315711.21,262671.72,15311.99,656205.74,223681.39,420685.18,1578556.02
Malibong Matanda,2027,9197.28,0.49,0.85,0.15,247154.52,274176.74,15982.66,684947.55,233478.63,439111.19,1647696.77
Malibong Matanda,2028,9600.12,0.49,0.90,0.10,171986.59,286185.69,16682.70,714948.26,243705.00,458344.26,1719865.91
Malibong Matanda,2029,10020.61,0.49,0.95,0.05,89759.80,298720.62,17413.40,746262.99,254379.28,478419.74,1795196.03
Malibong Matanda,2030,10459.51,0.49,1.00,0.00,0.00,311804.58,18176.11,778949.31,265521.09,499374.53,1873825.62
Manatal,2020,3153.00,0.63,0.55,0.45,326892.32,120877.52,7046.35,301975.86,102934.76,193592.90,726427.39
Manatal,2021,3202.19,0.62,0.55,0.45,332156.09,122823.94,7159.81,306838.42,104592.26,196710.22,738124.65
Manatal,2022,3252.14,0.62,0.60,0.40,299787.32,124711.53,7269.84,311553.97,106199.66,199733.30,749468.30
Manatal,2023,3302.87,0.62,0.65,0.35,266406.00,126657.03,7383.25,316414.22,107856.37,202849.14,761160.01
Manatal,2024,3354.40,0.62,0.70,0.30,231910.23,128632.87,7498.43,321350.28,109538.93,206013.59,773034.10
Manatal,2025,3406.73,0.62,0.75,0.25,196273.36,130639.55,7615.41,326363.34,111247.74,209227.40,785093.44
Manatal,2026,3459.87,0.62,0.80,0.20,159468.18,132677.52,7734.21,331454.61,112983.20,212491.35,797340.89
Manatal,2027,3513.85,0.62,0.85,0.15,121466.91,134747.29,7854.86,336625.30,114745.74,215806.21,809779.40
Manatal,2028,3568.66,0.62,0.90,0.10,82241.20,136849.35,7977.40,341876.66,116535.78,219172.79,822411.98
Manatal,2029,3624.33,0.62,0.95,0.05,41762.08,138984.20,8101.84,347209.93,118353.73,222591.89,835241.59
Manatal,2030,3680.87,0.62,1.00,0.00,0.00,141152.36,8228.23,352626.41,120200.05,226064.32,848271.37
Mapulang Lupa,2020,31580.00,0.56,0.55,0.45,2908878.01,1075638.45,62702.48,2687156.87,915973.37,1722702.20,6464173.37
Mapulang Lupa,2021,32855.83,0.54,0.55,0.45,3026560.93,1119154.98,65239.20,2795869.73,953030.41,1792396.64,6725690.96
Mapulang Lupa,2022,34183.21,0.54,0.60,0.40,2794749.22,1162615.68,67772.67,2904443.13,990039.91,1862001.67,6986873.06
Mapulang Lupa,2023,35564.21,0.54,0.65,0.35,2544199.96,1209585.35,70510.68,3021782.63,1030037.52,1937226.54,7269142.72
Mapulang Lupa,2024,37001.00,0.54,0.70,0.30,2268844.83,1258452.60,73359.32,3143862.65,1071651.04,2015490.49,7562816.10
Mapulang Lupa,2025,38495.84,0.54,0.75,0.25,1967088.47,1309294.08,76323.03,3270874.70,1114945.74,2096916.31,7868353.86
Mapulang Lupa,2026,40051.08,0.54,0.80,0.20,1637247.07,1362189.56,79406.48,3403018.04,1159989.55,2181631.72,8186235.35
Mapulang Lupa,2027,41669.14,0.54,0.85,0.15,1277543.89,1417222.02,82614.50,3540499.97,1206853.13,2269769.65,8516959.27
Mapulang Lupa,2028,43352.57,0.54,0.90,0.10,886104.44,1474477.79,85952.13,3683536.17,1255610.00,2361468.34,8861044.43
Mapulang Lupa,2029,45104.02,0.54,0.95,0.05,460951.53,1534046.70,89424.60,3832351.03,1306336.64,2456871.66,9219030.63
Mapulang Lupa,2030,46926.22,0.54,1.00,0.00,0.00,1596022.18,93037.35,3987178.01,1359112.64,2556129.28,9591479.46
Masagana,2020,2938.00,0.43,0.55,0.45,207503.60,76730.22,4472.86,191687.21,65340.58,122888.24,461119.11
Masagana,2021,3026.14,0.42,0.55,0.45,207667.85,76790.95,4476.40,191838.94,65392.30,122985.51,461484.10
Masagana,2022,3116.92,0.42,0.60,0.40,190131.45,79094.68,4610.69,197594.11,67354.07,126675.08,475328.63
Masagana,2023,3210.43,0.42,0.65,0.35,171355.97,81467.52,4749.01,203521.93,69374.69,130475.33,489588.48
Masagana,2024,3306.74,0.42,0.70,0.30,151282.84,83911.55,4891.48,209627.59,71455.93,134389.59,504276.14
Masagana,2025,3405.95,0.42,0.75,0.25,129851.11,86428.90,5038.22,215916.42,73599.61,138421.28,519404.43
Masagana,2026,3508.13,0.42,0.80,0.20,106997.31,89021.76,5189.37,222393.91,75807.59,142573.92,534986.55
Masagana,2027,3613.37,0.42,0.85,0.15,82655.42,91692.42,5345.05,229065.73,78081.82,146851.13,551036.15
Masagana,2028,3721.77,0.42,0.90,0.10,56756.72,94443.19,5505.40,235937.70,80424.28,151256.67,567567.24
Masagana,2029,3833.42,0.42,0.95,0.05,29229.71,97276.48,5670.56,243015.83,82837.01,155794.37,584594.25
Masagana,2030,3948.43,0.42,1.00,0.00,0.00,100194.78,5840.68,250306.31,85322.12,160468.20,602132.09
Masuso,2020,2938.00,0.57,0.55,0.45,771937.39,76730.22,4472.86,191687.21,65340.58,122888.24,461119.11
Masuso,2021,3026.14,0.55,0.55,0.45,794256.25,76790.95,4476.40,191838.94,65392.30,122985.51,461484.10
Masuso,2022,3116.92,0.55,0.60,0.40,725706.91,79094.68,4610.69,197594.11,67354.07,126675.08,475328.63
Masuso,2023,3210.43,0.55,0.65,0.35,653217.86,81467.52,4749.01,203521.93,69374.69,130475.33,489588.48
Masuso,2024,3306.74,0.55,0.70,0.30,575970.19,83911.55,4891.48,209627.59,71455.93,134389.59,504276.14
Masuso,2025,3405.95,0.55,0.75,0.25,493750.44,86428.90,5038.22,215916.42,73599.61,138421.28,519404.43
Masuso,2026,3508.13,0.55,0.80,0.20,406336.86,89021.76,5189.37,222393.91,75807.59,142573.92,534986.55
Masuso,2027,3613.37,0.55,0.85,0.15,313499.05,91692.42,5345.05,229065.73,78081.82,146851.13,551036.15
Masuso,2028,3721.77,0.55,0.90,0.10,214997.65,94443.19,5505.40,235937.70,80424.28,151256.67,567567.24
